date,open,high,low,close,month,ret,ret5,sma20,sma50,fast,slow,prior,mom1,gate_pick,gate_forecast,GVZ,gvz_q90_252,gvz_stress,mtd_peak,mtd_trough,mtd_dd,mtd_up,price_emg_down,price_emg_up,macro_score,macro_series,event_down,bocpd_alarm_month,pos,action,reason,evidence,turn,strat_ret,equity,bh_ret,bh_equity
2026-04-14,4747.63,4846.31,4745.64,4840.69,2026-04,0.021057360900764932,0.028550969759812306,4651.308,4903.8106,1,1,1,-1,momentum,5060.83558668,31.04,34.947,False,4840.69,4649.68,0.0,0.04108024638254659,False,False,1,PPIACO,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.021057360900764932,1.1283426701173669,0.021057360900764932,1.1209582363634243
2026-04-15,4842.72,4871.14,4785.76,4790.97,2026-04,-0.010271262981103813,0.015115591688331431,4640.6810000000005,4900.700199999999,1,1,1,-1,momentum,5060.83558668,29.97,34.947,False,4840.69,4649.68,-0.010271262981103813,0.030387037387519023,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.010271262981103813,1.1167531658197904,-0.010271262981103813,1.1094445795269012
2026-04-16,4796.68,4838.32,4771.39,4790.13,2026-04,-0.0001753298392601632,0.005271762283814763,4639.259499999999,4897.1984,1,1,1,-1,momentum,5060.83558668,28.65,34.947,False,4840.69,4649.68,-0.010444791961476407,0.030206379793878302,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0001753298392601632,1.116557365666734,-0.0001753298392601632,1.1092500607871048
2026-04-17,4794.58,4890.51,4767.51,4867.57,2026-04,0.016166575854934973,0.02492851397504392,4649.7565,4899.0194,1,1,1,-1,momentum,5060.83558668,28.95,34.947,False,4867.57,4649.68,0.0,0.04686128937905387,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.016166575854934973,1.1346082750151716,0.016166575854934973,1.1271828360369107
2026-04-20,4767.17,4827.66,4736.84,4820.71,2026-04,-0.009626980197511181,0.016842935669899584,4665.888499999999,4896.1082,1,1,1,-1,momentum,5060.83558668,28.46,34.947,False,4867.57,4649.68,-0.009626980197511181,0.03678317647666063,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.009626980197511181,1.1236854236196683,-0.009626980197511181,1.116331469195409
2026-04-21,4825.34,4833.25,4723.53,4747.64,2026-04,-0.015157518290874084,-0.01922246621865875,4682.9285,4889.856000000001,1,1,1,-1,momentum,5060.83558668,29.31,34.947,False,4867.57,4649.68,-0.02463857735995567,0.021068116515545077,False,False,-1,RSAFS,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.015157518290874084,1.1066531412579645,-0.015157518290874084,1.0994106545324012
2026-04-22,4721.82,4747.53,4715.45,4745.35,2026-04,-0.00048234491241960775,-0.009522080079816808,4696.3565,4884.305799999999,1,1,1,-1,momentum,5060.83558668,27.09,34.947,False,4867.57,4649.68,-0.025109037979936466,0.020575609504309922,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.00048234491241960775,1.1061193527454656,-0.00048234491241960775,1.0988803593965275
2026-04-23,4744.29,4745.96,4723.43,4727.99,2026-04,-0.0036583181430243084,-0.012972508053017417,4707.468500000001,4877.208600000001,1,1,1,-1,momentum,5060.83558668,27.87,34.947,False,4867.57,4649.68,-0.028675499273764893,0.016842019235732142,False,False,0,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0036583181430243084,1.1020728162489666,-0.0036583181430243084,1.0948603054407342
2026-04-24,4700.49,4700.86,4686.87,4698.4,2026-04,-0.006258473473928716,-0.0347545078961371,4723.3445,4872.7326,0,1,1,-1,momentum,5060.83558668,25.88,34.947,False,4867.57,4649.68,-0.0347545078961371,0.010478140431169347,False,False,0,,False,True,1,TUT,HOLD,MIXED_NEUTRAL,0.0,-0.006258473473928716,1.0951755227621345,-0.006258473473928716,1.0880081512614759
2026-04-27,4695.81,4730.12,4667.11,4679.98,2026-04,-0.003920483568874533,-0.029192795252151793,4732.5885,4865.4710000000005,-1,0,1,-1,momentum,5060.83558668,25.37,34.947,False,4867.57,4649.68,-0.03853873698786048,0.006516577484902086,False,False,0,,False,True,1,TUT,HOLD,TACTICAL_EARLY_REVERSAL,0.0,-0.003920483568874533,1.090881905120112,-0.003920483568874533,1.0837426331816538
