date,open,high,low,close,month,ret,sma20,fast_raw,fast,slow,prior,pos,turn,strat_ret,equity
2023-06-09,1965.51,1972.92,1956.62,1960.73,2023-06,-0.002294885103091726,1964.6469999999997,-1.0,-1,-1,1,1,0.0,-0.002294885103091726,1.0752504784728347
2023-06-12,1959.78,1966.92,1949.17,1957.42,2023-06,-0.0016881467616652879,1961.709,-1.0,-1,0,1,1,0.0,-0.0016881467616652879,1.0734352978596218
2023-06-13,1956.85,1970.73,1940.01,1943.68,2023-06,-0.007019443961949867,1959.4440000000002,-1.0,-1,0,1,1,0.0,-0.007019443961949867,1.0659003789395172
2023-06-14,1942.71,1960.11,1939.58,1941.79,2023-06,-0.000972382285149842,1957.4535000000003,-1.0,-1,0,1,1,0.0,-0.000972382285149842,1.0648639162933018
2023-06-15,1941.41,1960.26,1924.58,1957.85,2023-06,0.008270719284783512,1957.4850000000001,1.0,0,0,1,1,0.0,0.008270719284783512,1.0736711068214588
2023-06-16,1957.59,1967.86,1953.18,1957.53,2023-06,-0.0001634445948361929,1956.4785,1.0,1,0,1,1,0.0,-0.0001634445948361929,1.0734956210824171
2023-06-19,1957.51,1958.74,1947.81,1950.32,2023-06,-0.003683213028663701,1955.4115000000002,-1.0,0,1,1,1,0.0,-0.003683213028663701,1.069541708024633
2023-06-20,1950.56,1956.74,1929.78,1936.05,2023-06,-0.0073167480208375935,1953.4705,-1.0,-1,1,1,1,0.0,-0.0073167480208375935,1.0617161408492406
2023-06-21,1935.33,1939.46,1919.16,1932.55,2023-06,-0.0018078045505023344,1952.2435,-1.0,-1,1,1,1,0.0,-0.0018078045505023344,1.0597967655784715
2023-06-22,1931.8,1934.91,1912.38,1913.82,2023-06,-0.009691857907945467,1950.896,-1.0,-1,1,1,1,0.0,-0.009691857907945467,1.0495253659151846
2023-06-23,1913.47,1937.25,1910.14,1920.76,2023-06,0.0036262553427177657,1949.6225000000002,-1.0,-1,1,1,1,0.0,0.0036262553427177657,1.0533312128806525
2023-06-26,1925.04,1933.32,1921.47,1922.94,2023-06,0.0011349674087339778,1948.6230000000003,-1.0,-1,0,1,1,0.0,0.0011349674087339778,1.0545267094778743
2023-06-27,1923.17,1930.66,1911.04,1913.45,2023-06,-0.0049351513827784466,1946.337,-1.0,-1,0,1,1,0.0,-0.0049351513827784466,1.0493224605294178
2023-06-28,1913.4,1917.18,1902.8,1907.21,2023-06,-0.003261125192714709,1943.5735,-1.0,-1,0,1,1,0.0,-0.003261125192714709,1.045900488618104
2023-06-29,1907.59,1913.02,1892.94,1907.91,2023-06,0.0003670282769070443,1940.0970000000002,-1.0,-1,0,1,1,0.0,0.0003670282769070443,1.0462843636722579
2023-06-30,1908.05,1922.73,1900.46,1919.42,2023-06,0.0060327793239722816,1938.664,-1.0,-1,0,1,1,0.0,0.0060327793239722816,1.0525963663484152
2023-07-03,1918.63,1931.01,1910.06,1921.28,2023-07,0.0009690427316584316,1936.6439999999998,-1.0,-1,-1,1,1,0.0,0.0009690427316584316,1.0536163772065952
2023-07-04,1921.11,1930.71,1919.85,1925.7,2023-07,0.002300549633577731,1934.7745,-1.0,-1,-1,1,1,0.0,0.002300549633577731,1.0560402739771093
2023-07-05,1925.56,1935.03,1914.74,1915.11,2023-07,-0.005499298956223808,1933.5379999999998,-1.0,-1,-1,1,1,0.0,-0.005499298956223808,1.0502327928006967
2023-07-06,1914.81,1927.64,1902.64,1910.77,2023-07,-0.0022661883651591275,1930.8145,-1.0,-1,-1,1,1,0.0,-0.0022661883651591275,1.0478527674649432
2023-07-07,1910.72,1934.79,1909.51,1925.35,2023-07,0.007630431710776264,1929.0455000000002,-1.0,-1,-1,1,1,0.0,0.007630431710776264,1.0558483364500324
2023-07-10,1924.48,1928.15,1912.64,1925.17,2023-07,-9.348949541632123e-05,1927.4329999999998,-1.0,-1,-1,1,1,0.0,-9.348949541632123e-05,1.0557496257218215
2023-07-11,1924.77,1938.41,1924.25,1931.95,2023-07,0.0035217669088962733,1926.8465,1.0,0,-1,1,1,0.0,0.0035217669088962733,1.0594677298177682
2023-07-12,1932.15,1959.64,1932.11,1957.02,2023-07,0.012976526307616698,1927.6079999999997,1.0,1,-1,1,1,0.0,0.012976526307616698,1.0732159406858193
2023-07-13,1956.25,1963.51,1952.37,1960.24,2023-07,0.0016453587597469177,1927.7274999999997,1.0,1,-1,1,1,0.0,0.0016453587597469177,1.0749817659349268
2023-07-14,1959.96,1963.74,1950.89,1955.24,2023-07,-0.0025507080765621026,1927.613,1.0,1,-1,1,1,0.0,-0.0025507080765621026,1.0722398012623995
2023-07-17,1955.15,1959.81,1945.69,1954.88,2023-07,-0.00018412061946349034,1927.841,1.0,1,0,1,1,0.0,-0.00018412061946349034,1.0720423798059777
2023-07-18,1954.35,1984.35,1954.35,1978.57,2023-07,0.012118390898673947,1929.967,1.0,1,0,1,1,0.0,0.012118390898673947,1.0850338084244113
2023-07-19,1978.48,1980.89,1969.76,1976.59,2023-07,-0.0010007227442041522,1932.1689999999999,1.0,1,0,1,1,0.0,-0.0010007227442041522,1.0839479904140905
2023-07-20,1976.31,1987.44,1965.28,1969.35,2023-07,-0.0036628739394614085,1934.9455000000003,1.0,1,0,1,1,0.0,-0.0036628739394614085,1.0799776255682711
2023-07-21,1969.68,1973.77,1956.74,1961.73,2023-07,-0.003869296976159564,1936.994,1.0,1,0,1,1,0.0,-0.003869296976159564,1.0757988714073399
2023-07-24,1961.43,1967.83,1953.43,1954.51,2023-07,-0.0036804249310558035,1938.5725000000002,1.0,1,1,1,1,0.0,-0.0036804249310558035,1.0718394744202107
2023-07-25,1954.66,1965.64,1951.58,1964.7,2023-07,0.005213582944062711,1941.1349999999998,1.0,1,1,1,1,0.0,0.005213582944062711,1.077427598422821
2023-07-26,1964.49,1978.29,1961.98,1971.56,2023-07,0.0034916272204408294,1944.3525000000002,1.0,1,1,1,1,0.0,0.0034916272204408294,1.0811895739535282
2023-07-27,1971.32,1982.19,1942.55,1945.43,2023-07,-0.013253464261802739,1946.2285,-1.0,0,1,1,1,0.0,-0.013253464261802739,1.0668600665749015
2023-07-28,1945.95,1963.53,1945.36,1959.14,2023-07,0.007047285176027929,1948.2145,1.0,0,1,1,1,0.0,0.007047285176027929,1.074378533706971
2023-07-31,1958.59,1972.38,1951.08,1965.09,2023-07,0.003037046867502946,1950.405,1.0,1,1,1,1,0.0,0.003037046867502946,1.077641471667278
2023-08-01,1965.38,1965.99,1941.24,1944.21,2023-08,-0.01062546753583804,1951.3305,-1.0,0,1,-1,0,1.0,-0.011625467535838041,1.0651133857231374
2023-08-02,1948.31,1954.69,1932.9,1934.52,2023-08,-0.004984029502985821,1952.3010000000002,-1.0,-1,1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-03,1934.03,1938.94,1929.42,1933.83,2023-08,-0.00035667762545754655,1953.4539999999997,-1.0,-1,1,-1,0,0.0,-0.0,1.0651133857231374
2023-08-04,1933.65,1946.79,1926.73,1942.65,2023-08,0.004560897286731702,1954.319,-1.0,-1,1,-1,0,0.0,0.0,1.0651133857231374
