ry_thr,usd_thr,mode,period,n,base_acc,rule_acc,corrected,damaged,alarms
0.3,0.02,RY_ONLY,DEV,130,0.5230769230769231,0.5307692307692308,1,0,1
0.3,0.02,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.3,0.02,RY_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.02,RY_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.3,0.02,USD_ONLY,DEV,130,0.5230769230769231,0.5,2,5,7
0.3,0.02,USD_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.3,0.02,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.02,USD_ONLY,LOCK,30,0.7666666666666667,0.8,2,1,3
0.3,0.03,AND,DEV,130,0.5230769230769231,0.5230769230769231,0,0,0
0.3,0.03,AND,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.3,0.03,AND,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.03,AND,LOCK,30,0.7666666666666667,0.7666666666666667,0,0,0
0.3,0.03,OR,DEV,130,0.5230769230769231,0.5230769230769231,3,3,6
0.3,0.03,OR,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.3,0.03,OR,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.03,OR,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.3,0.03,RY_ONLY,DEV,130,0.5230769230769231,0.5307692307692308,1,0,1
0.3,0.03,RY_ONLY,VAL,24,0.4166666666666667,0.4166666666666667,1,1,2
0.3,0.03,RY_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.03,RY_ONLY,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.3,0.03,USD_ONLY,DEV,130,0.5230769230769231,0.5153846153846153,2,3,5
0.3,0.03,USD_ONLY,VAL,24,0.4166666666666667,0.4583333333333333,1,0,1
0.3,0.03,USD_ONLY,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.3,0.03,USD_ONLY,LOCK,30,0.7666666666666667,0.7666666666666667,0,0,0
