target,origin,actual_dir,dir3,flat,real10,usd,ry1,ry3,usd1,usd3,alarm_frozen,pred_frozen
2015-08-01,2015-07-01,-1.0,-1.0,False,0.46,108.7819,-0.019999999999999962,0.35000000000000003,0.021243138554494,0.03294876177453654,False,-1.0
2015-09-01,2015-08-01,1.0,-1.0,False,0.58,110.5621,0.11999999999999994,0.25999999999999995,0.016364854815001495,0.035819214756021234,False,-1.0
2015-10-01,2015-09-01,1.0,-1.0,False,0.65,111.3311,0.07000000000000006,0.17000000000000004,0.006955367164697579,0.04517499678461423,False,-1.0
2015-11-01,2015-10-01,-1.0,1.0,False,0.63,110.2079,-0.020000000000000018,0.16999999999999998,-0.01008882513511511,0.013108798430621293,False,1.0
2015-12-01,2015-11-01,-1.0,-1.0,False,0.62,112.34,-0.010000000000000009,0.040000000000000036,0.019346163024610785,0.016080555633440463,False,-1.0
2016-01-01,2015-12-01,1.0,-1.0,False,0.73,113.3429,0.10999999999999999,0.07999999999999996,0.008927363361224794,0.018070422370748185,False,-1.0
2016-02-01,2016-01-01,1.0,-1.0,False,0.53,115.5731,-0.19999999999999996,-0.09999999999999998,0.019676574359752452,0.048682535462521326,False,-1.0
2016-03-01,2016-02-01,1.0,1.0,False,0.32,114.2418,-0.21000000000000002,-0.3,-0.011519116472604729,0.016928965640021332,False,1.0
2016-04-01,2016-03-01,-1.0,1.0,False,0.16,109.9191,-0.16,-0.57,-0.037838164314637934,-0.03020745013582682,False,1.0
2016-05-01,2016-04-01,1.0,1.0,False,0.12,108.8274,-0.04000000000000001,-0.41000000000000003,-0.009931849878683563,-0.05836738825903254,False,1.0
2016-06-01,2016-05-01,1.0,1.0,False,0.3,112.4276,0.18,-0.020000000000000018,0.03308174228181504,-0.01588035202526572,True,-1.0
2016-07-01,2016-06-01,1.0,1.0,False,0.09,112.1618,-0.21,-0.07,-0.0023641881530869213,0.020403187435122705,False,1.0
2016-08-01,2016-07-01,1.0,1.0,False,-0.03,111.874,-0.12,-0.15,-0.0025659359960343853,0.027994788077267296,False,1.0
2016-09-01,2016-08-01,-1.0,1.0,False,0.11,112.4036,0.14,-0.19,0.004733897062767056,-0.0002134707135970082,True,-1.0
2016-10-01,2016-09-01,-1.0,1.0,False,0.0,112.2795,-0.11,-0.09,-0.001104057165428829,0.0010493768823254257,False,1.0
2016-11-01,2016-10-01,-1.0,-1.0,False,0.11,114.0188,0.11,0.14,0.015490806425037418,0.019171568014015872,False,-1.0
2016-12-01,2016-11-01,-1.0,-1.0,False,0.43,117.7636,0.32,0.32,0.03284370647647572,0.047685305452850324,False,-1.0
2017-01-01,2016-12-01,1.0,-1.0,False,0.5,118.3466,0.07,0.5,0.0049505959396620725,0.054035687725720205,False,-1.0
2017-02-01,2017-01-01,1.0,-1.0,False,0.4,116.2241,-0.09999999999999998,0.29000000000000004,-0.017934609021298398,0.01934154718344705,False,-1.0
2017-03-01,2017-02-01,-1.0,1.0,False,0.34,116.0032,-0.06,-0.08999999999999997,-0.0019006385078481625,-0.014948591924839216,False,1.0
2017-04-01,2017-03-01,1.0,1.0,False,0.43,114.7938,0.08999999999999997,-0.07,-0.01042557446691128,-0.030020296316074946,False,1.0
2017-05-01,2017-04-01,-1.0,1.0,False,0.37,114.7877,-0.06,-0.030000000000000027,-5.3138758364990046e-05,-0.01235888253813111,False,1.0
2017-06-01,2017-05-01,1.0,1.0,False,0.4,113.2956,0.030000000000000027,0.06,-0.012998779485955403,-0.023340735427988313,False,1.0
2017-07-01,2017-06-01,-1.0,1.0,False,0.58,111.9896,0.17999999999999994,0.14999999999999997,-0.011527367347010764,-0.024428148558545915,True,-1.0
2017-08-01,2017-07-01,1.0,-1.0,False,0.48,109.8177,-0.09999999999999998,0.10999999999999999,-0.019393765135333974,-0.04329732192560698,False,-1.0
2017-09-01,2017-08-01,1.0,1.0,False,0.36,109.3686,-0.12,-0.040000000000000036,-0.004089504697330271,-0.034661540253990375,False,1.0
2017-10-01,2017-09-01,-1.0,1.0,False,0.49,110.0867,0.13,-0.08999999999999997,0.006565869911473676,-0.01699175637737793,True,-1.0
