report_date_as_yyyy_mm_dd,market_and_exchange_names,cftc_contract_market_code,open_interest_all,m_money_positions_long_all,m_money_positions_short_all,date,mm_net,mm_net_oi,chg4,crowd_pct,unwind4_pct
2022-02-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,512842,117234,47767,2022-02-08,69467,0.13545497443657112,-0.0005154271619182138,0.23076923076923078,0.46794871794871795
2022-02-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,558645,151530,43824,2022-02-15,107706,0.19279864672555916,0.05965237926463529,0.5512820512820513,0.11538461538461539
2022-02-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,611488,183356,44380,2022-02-22,138976,0.22727510597100842,0.050070249290625674,0.6410256410256411,0.16025641025641027
2022-03-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,615600,187215,38594,2022-03-01,148621,0.24142462638076673,0.14456649054185933,0.6666666666666666,0.02564102564102564
2022-03-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,638502,181510,38537,2022-03-08,142973,0.2239194239015696,0.08846444946499848,0.6217948717948718,0.08974358974358974
2022-03-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,617605,165597,39060,2022-03-15,126537,0.20488338015398191,0.012084733428422756,0.5705128205128205,0.38461538461538464
2022-03-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,605191,152589,37457,2022-03-22,115132,0.19024076696447897,-0.03703433900652944,0.5064102564102564,0.7307692307692307
2022-03-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,574521,146486,38184,2022-03-29,108302,0.1885083399910534,-0.052916286389713324,0.5,0.8397435897435898
2022-04-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,560666,148320,46693,2022-04-05,101627,0.18126121434151526,-0.04265820956005434,0.4551282051282051,0.7628205128205128
2022-04-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,577639,165244,48219,2022-04-12,117025,0.20259193025401678,-0.002291449899965131,0.5641025641025641,0.4935897435897436
2022-04-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,575202,157560,56294,2022-04-19,101266,0.17605293444737674,-0.014187832517102233,0.3974358974358974,0.5961538461538461
2022-04-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,557785,138215,57098,2022-04-26,81117,0.14542700144320841,-0.04308133854784499,0.23717948717948717,0.7756410256410257
2022-05-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,560441,128828,60981,2022-05-03,67847,0.12106002237523665,-0.060201191966278614,0.1282051282051282,0.9038461538461539
