week,best_scheme,sunday_present,sunday_open,sunday_volume,monfri_n,monfri_open_diff,monfri_high_diff,monfri_low_diff,monfri_close_diff,monfri_vol_diff,monfri_exact,sunfri_n,sunfri_open_diff,sunfri_high_diff,sunfri_low_diff,sunfri_close_diff,sunfri_vol_diff,sunfri_exact,sunsat_n,sunsat_open_diff,sunsat_high_diff,sunsat_low_diff,sunsat_close_diff,sunsat_vol_diff,sunsat_exact
2012-01-22,SUN_FRI,True,1664.41,790.0,5,0.36999999999989086,0.0,0.0,0.0,-790.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-01-29,SUN_FRI,True,1736.26,776.0,5,0.33999999999991815,0.0,0.0,0.0,-776.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-02-05,SUN_FRI,True,1727.9,721.0,5,0.25,0.0,0.0,0.0,-721.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-02-12,SUN_FRI,True,1725.0,691.0,5,-0.2999999999999545,0.0,0.0,0.0,-691.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-02-19,SUN_FRI,True,1726.5,841.0,5,0.2999999999999545,0.0,0.12999999999988177,0.0,-841.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-02-26,SUN_FRI,True,1775.0,421.0,5,0.049999999999954525,0.0,0.0,0.0,-421.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-03-04,SUN_FRI,True,1710.8,671.0,5,0.0,0.0,0.0,0.0,-671.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-03-11,SUN_FRI,True,1714.5,891.0,5,0.0,0.0,0.0,0.0,-891.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-03-18,SUN_FRI,True,1658.5,651.0,5,0.09999999999990905,0.0,0.0,0.0,-651.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-03-25,SUN_FRI,True,1662.5,791.0,5,-0.01999999999998181,0.0,0.0,0.0,-791.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-04-01,SUN_FRI,True,1669.3,701.0,4,0.0,0.0,0.0,0.0,-701.0,False,5,0.0,0.0,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,True
2012-04-08,SUN_FRI,True,1642.5,1021.0,5,0.049999999999954525,0.0,0.0,0.0,-1021.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-04-15,SUN_FRI,True,1656.8,781.0,5,0.40000000000009095,0.0,0.0,0.0,-781.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-04-22,SUN_FRI,True,1641.2,511.0,5,0.44000000000005457,0.0,0.0,0.0,-511.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-04-29,SUN_FRI,True,1662.1,261.0,5,1.9500000000000455,0.0,0.0,0.0,-261.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-05-06,SUN_FRI,True,1642.4,1001.0,5,0.09999999999990905,0.0,0.0,0.0,-1001.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-05-13,SUN_FRI,True,1583.4,941.0,5,1.6699999999998454,0.0,0.0,0.0,-941.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-05-20,SUN_FRI,True,1590.6,431.0,5,-0.2999999999999545,0.0,0.0,0.0,-431.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-05-27,SUN_FRI,True,1573.9,1071.0,5,-0.040000000000190994,0.0,0.0,0.0,-1071.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-06-03,SUN_FRI,True,1625.1,1431.0,5,-2.5,0.0,0.0,0.0,-1431.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-06-10,SUN_FRI,True,1602.9,1611.0,5,-1.650000000000091,0.0,0.0,0.0,-1611.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-06-17,SUN_FRI,True,1628.8,3151.0,5,-0.19000000000005457,0.0,0.0,0.0,-3151.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-06-24,SUN_FRI,True,1571.6,891.0,5,-3.099999999999909,0.0,0.0,0.0,-891.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-07-01,SUN_FRI,True,1599.0,531.0,5,0.0,0.0,0.0,0.0,-531.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-07-08,SUN_FRI,True,1581.7,741.0,5,-0.049999999999954525,0.0,0.0,0.0,-741.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-07-15,SUN_FRI,True,1589.8,561.0,5,0.4500000000000455,0.0,0.0,0.0,-561.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-07-22,SUN_FRI,True,1581.5,611.0,5,0.34999999999990905,0.0,0.0,0.0,-611.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
2012-07-29,SUN_FRI,True,1623.4,741.0,5,-0.14000000000010004,0.0,0.0,0.0,-741.0,False,6,0.0,0.0,0.0,0.0,0.0,True,6,0.0,0.0,0.0,0.0,0.0,True
