origin_index,origin_date,target_date,y,p_cal,p_raw,p_50,p_frequency,p_fast_only,p_static_logistic,p_equal_candidates,config_id,ridge_lambda,state_discount,dma_alpha,calibration_n,calibration_intercept,calibration_slope,direction,candidate_weights
147,2025-10-23,2025-10-24,0,0.621349576879695,0.6677881342422441,0.5,0.597972972972973,0.5905233947353917,0.5818923672958628,0.6678014148154258,L4_D0.97_A1,4.0,0.97,1.0,87,0.39347142763460324,0.14581680594534888,UP,"[0.37699666737989435,0.3095729306995515,0.3134304019205542]"
148,2025-10-24,2025-10-27,0,0.6016600910914863,0.6461925305465521,0.5,0.5939597315436241,0.585418249648063,0.5756012361232125,0.6461806112167426,L4_D0.97_A1,4.0,0.97,1.0,88,0.41851834008295463,-0.010179173602407016,UP,"[0.3772115814409599,0.30946441802495944,0.31332400053408066]"
149,2025-10-27,2025-10-28,0,0.5933117415766953,0.6066599401457741,0.5,0.59,0.5866404356079056,0.5712760857028499,0.6065985532982291,L4_D0.97_A1,4.0,0.97,1.0,89,0.4278014691594897,-0.11569156865738854,UNCERTAIN,"[0.37703106132938,0.3095519868968969,0.3134169517737231]"
150,2025-10-28,2025-10-29,0,0.5918762297393511,0.567652873277444,0.5,0.5860927152317881,0.6246164863653911,0.6020861861758179,0.5676312278229183,L4_D0.97_A0.95,4.0,0.97,0.95,90,0.41210499451756966,-0.14829494608564814,UNCERTAIN,"[0.33934258640606335,0.3303486949216198,0.3303087186723169]"
151,2025-10-29,2025-10-30,1,0.5904344970776843,0.5160558812385851,0.5,0.5822368421052632,0.6092761328626034,0.5813737215829401,0.5160356698795256,L4_D0.97_A0.95,4.0,0.97,0.95,91,0.37308047303704645,-0.11391626338766248,UNCERTAIN,"[0.3372671354774596,0.33138258418204813,0.33135028034049213]"
152,2025-10-30,2025-10-31,0,0.5923987832945493,0.5588745605183121,0.5,0.5849673202614379,0.6186490115230179,0.5953143869813053,0.5588563852813498,L4_D0.97_A0.95,4.0,0.97,0.95,92,0.42009931818380547,-0.19530601100148298,UNCERTAIN,"[0.3391832013521669,0.3304262272593756,0.33039057138845745]"
153,2025-10-31,2025-11-03,1,0.5893648495073665,0.5270906992609048,0.5,0.5811688311688312,0.6041479204518837,0.6084770633022839,0.5271495177701967,L4_D0.97_A0.95,4.0,0.97,0.95,93,0.3774566607838427,-0.14858010438009814,UNCERTAIN,"[0.3373903573079059,0.3313195055814152,0.3312901371106789]"
154,2025-11-03,2025-11-04,0,0.5883163496102524,0.5711858524218105,0.5,0.5838709677419355,0.6132196011590236,0.6188690964824384,0.5711358002308767,L4_D0.97_A0.95,4.0,0.97,0.95,94,0.4188664014125928,-0.21576120487099343,UNCERTAIN,"[0.33134569089609406,0.3343439886452474,0.33431032045865855]"
155,2025-11-04,2025-11-05,1,0.590866962239658,0.5221304934973652,0.5,0.5801282051282052,0.5994749090356222,0.6028540853576108,0.522616030547097,L4_D0.97_A1,4.0,0.97,1.0,95,0.3843660485878387,-0.18983484349561602,UNCERTAIN,"[0.3820954985525338,0.307030430652438,0.3108740707950282]"
156,2025-11-05,2025-11-06,0,0.5897268193017358,0.5606372522420148,0.5,0.5828025477707006,0.6082598255743702,0.6128809699337381,0.5614390529674133,L4_D0.97_A1,4.0,0.97,1.0,96,0.42634151791794284,-0.2605361005715023,UNCERTAIN,"[0.37759313833837616,0.3092697414096558,0.3131371202519681]"
