year,origin_date,target_date,q80,sqrt_forecast,target_dr,target_return,risk_hit,actual_up,outcome_class,RV_LOGIT_available,RV_LOGIT_up,RV_LOGIT_p_up,TTSM_S2_available,TTSM_S2_up,TTSM_S2_signal
2020,2020-06-01,2020-06-02,2.860861230028183e-05,3.521585701081368e-05,5.346990046252427e-05,-0.008163831315857448,1,0,HIT_DOWN,1,1,0.5272700321923111,1,1,1
2020,2020-06-02,2020-06-03,2.860861230028183e-05,3.7966922311014876e-05,7.63292034835336e-05,-0.013036117940576766,1,0,HIT_DOWN,1,1,0.5317168490216952,1,1,1
2020,2020-06-03,2020-06-04,2.860861230028183e-05,4.318074673525444e-05,4.298670225350484e-05,0.0033656343178503773,1,1,HIT_UP,1,1,0.5343590421987298,1,1,1
2020,2020-06-04,2020-06-05,2.860861230028183e-05,4.1427743705629004e-05,9.613976296155221e-05,-0.01367578739317845,1,0,HIT_DOWN,1,1,0.533245985349516,1,0,-1
2020,2020-06-05,2020-06-08,2.860861230028183e-05,5.0472378732185445e-05,3.101107779956559e-05,0.005892730275819341,1,1,HIT_UP,1,1,0.5376131020200049,1,0,-1
2020,2020-06-08,2020-06-09,2.860861230028183e-05,4.515772486371909e-05,2.929915149688329e-05,0.011586694487883843,1,1,HIT_UP,1,1,0.5278849930327646,1,0,-1
2020,2020-06-09,2020-06-10,2.860861230028183e-05,4.218542347384337e-05,4.13818210815913e-05,0.009478037219800088,1,1,HIT_UP,1,1,0.5303730050322233,1,1,1
2020,2020-06-10,2020-06-11,2.860861230028183e-05,4.051517168306215e-05,8.706911882029788e-05,-0.0030963694120035882,1,0,HIT_DOWN,1,1,0.5366027169405853,1,1,1
2020,2020-06-11,2020-06-12,2.860861230028183e-05,4.809217592160141e-05,3.406967145194898e-05,0.0024906901322834297,1,1,HIT_UP,1,1,0.5398562218385172,1,0,-1
2020,2020-06-12,2020-06-15,2.860861230028183e-05,3.883205436180065e-05,5.264510248386193e-05,-0.0010964699424056072,1,0,HIT_DOWN,1,1,0.5291881405500946,1,0,-1
2020,2020-06-15,2020-06-16,2.860861230028183e-05,4.276598832833131e-05,6.508364150122677e-05,-0.0012465150496152608,1,0,HIT_DOWN,1,1,0.5367007037024252,1,0,-1
2020,2020-06-16,2020-06-17,2.860861230028183e-05,4.738802906922739e-05,3.196800763547105e-05,-0.0003148409897995888,1,0,HIT_DOWN,1,1,0.5364178068183364,1,0,-1
2020,2020-06-17,2020-06-18,2.860861230028183e-05,4.2700096306107736e-05,2.958272828605707e-05,2.52025145170181e-05,1,1,HIT_UP,1,1,0.5254529091518683,1,0,-1
2020,2020-06-18,2020-06-19,2.860861230028183e-05,3.780404783863425e-05,1.507627274451461e-05,0.010420363095389004,0,1,MISS,1,1,0.5262318979284051,1,0,-1
2020,2020-06-19,2020-06-22,2.860861230028183e-05,3.354992691152316e-05,5.708608377969767e-05,0.004325196971001487,1,1,HIT_UP,1,1,0.5201455248914033,1,1,1
2020,2020-06-22,2020-06-23,2.860861230028183e-05,3.7762884925364725e-05,3.073884694900246e-05,0.009325388839833706,1,1,HIT_UP,1,1,0.5342881152494967,1,1,1
2020,2020-06-23,2020-06-24,2.860861230028183e-05,3.293155651327417e-05,5.665074750817331e-05,-0.0023657961688534615,1,0,HIT_DOWN,1,1,0.5301840813854576,1,1,1
2020,2020-06-24,2020-06-25,2.860861230028183e-05,3.7653120410737086e-05,2.886707372797137e-05,-0.0017374212296448301,1,0,HIT_DOWN,1,1,0.534594268798998,1,1,1
2020,2020-06-25,2020-06-26,2.860861230028183e-05,3.50773155673496e-05,2.811091713666003e-05,0.006012211507520327,0,1,MISS,1,1,0.5255772850530747,1,1,1
2020,2020-06-26,2020-06-29,2.860861230028183e-05,3.6489073000642236e-05,2.004586077418161e-05,-0.000383935684197737,0,0,MISS,1,1,0.5255321613444851,1,1,1
2020,2020-06-29,2020-06-30,2.860861230028183e-05,3.203010113963269e-05,1.888574640395735e-05,0.00743506214969275,0,1,MISS,1,1,0.5197820102654849,1,1,1
2020,2020-06-30,2020-07-01,2.860861230028183e-05,3.0380820192080517e-05,6.14583153886448e-05,-0.008402047298074809,1,0,HIT_DOWN,1,1,0.5251783112643879,1,1,1
2020,2020-07-01,2020-07-02,2.860861230028183e-05,3.464012452832612e-05,2.912686949334427e-05,0.0037846338333382113,1,1,HIT_UP,1,1,0.5316279941048793,1,1,1
2020,2020-07-02,2020-07-03,2.860861230028183e-05,3.184558339907612e-05,6.997374704199218e-06,-0.0004063814045331616,0,0,MISS,1,1,0.5281742209814639,1,1,1
2020,2020-07-13,2020-07-14,2.860861230028183e-05,2.8646212382612663e-05,2.999919777361495e-05,0.0062289259836345616,1,1,HIT_UP,1,1,0.5228443655447975,1,1,1
2020,2020-07-14,2020-07-15,2.860861230028183e-05,2.953329606007138e-05,1.766836480608593e-05,0.00039929818004299947,0,1,MISS,1,1,0.5256912466549879,1,1,1
2020,2020-07-23,2020-07-24,2.860861230028183e-05,3.1648100588045786e-05,3.037327589028873e-05,0.006141645948660909,1,1,HIT_UP,1,1,0.5386638060576692,1,1,1
2020,2020-07-24,2020-07-27,2.860861230028183e-05,3.198987503896804e-05,0.0002057765432456594,0.02198533702372225,1,1,HIT_UP,1,1,0.5313211031388212,1,1,1
2020,2020-07-27,2020-07-28,2.860861230028183e-05,5.714778868986738e-05,0.0002380793726437204,0.004726645243787866,1,1,HIT_UP,1,1,0.5530457469343939,1,0,0
2020,2020-07-28,2020-07-29,2.860861230028183e-05,7.529778348062819e-05,0.0001518353806986991,0.0061770700764975,1,1,HIT_UP,1,1,0.5604945283171264,1,0,0
2020,2020-07-29,2020-07-30,2.860861230028183e-05,7.930825152812356e-05,6.917996039571292e-05,0.0021754846299316347,1,1,HIT_UP,1,1,0.5589021304434628,1,0,0
