origin_date,actual_up,p_up,pred_up
2025-07-24,0,0.550168633461,1
2025-07-25,0,0.564908027649,1
2025-07-28,1,0.581989645958,1
2025-07-29,0,0.628784894943,1
2025-07-30,1,0.593164324760,1
2025-07-31,1,0.592899501324,1
2025-08-01,1,0.559557139874,1
2025-08-04,1,0.611637890339,1
2025-08-05,0,0.527561604977,1
2025-08-06,1,0.485847473145,0
2025-08-07,0,0.517448842525,1
2025-08-08,0,0.416316151619,0
2025-08-11,0,0.414230465889,0
2025-08-12,1,0.471898615360,0
2025-08-13,0,0.402107357979,0
2025-08-14,0,0.421372443438,0
2025-08-15,1,0.503814101219,1
2025-08-18,0,0.460970997810,0
2025-08-19,1,0.544057607651,1
2025-08-20,0,0.534602463245,1
2025-08-21,1,0.498102843761,0
2025-08-22,0,0.430555284023,0
2025-08-25,1,0.453362464905,0
2025-08-26,1,0.419410228729,0
2025-08-27,1,0.446721494198,0
2025-08-28,1,0.400530785322,0
2025-08-29,1,0.538978338242,1
2025-09-01,1,0.573110163212,1
2025-09-02,1,0.527689278126,1
2025-09-03,0,0.564490795135,1
2025-09-04,1,0.600592970848,1
2025-09-05,1,0.573595523834,1
2025-09-08,0,0.596441149712,1
2025-09-09,1,0.599001109600,1
2025-09-10,0,0.595326781273,1
2025-09-11,1,0.600567340851,1
2025-09-12,1,0.692949473858,1
2025-09-15,1,0.608565807343,1
2025-09-16,0,0.617223381996,1
2025-09-17,0,0.679246783257,1
2025-09-18,1,0.566854655743,1
2025-09-19,1,0.601747572422,1
2025-09-22,1,0.480644702911,0
2025-09-23,0,0.548940300941,1
2025-09-24,1,0.528656899929,1
2025-09-25,1,0.580157399178,1
2025-09-26,1,0.541396975517,1
2025-09-29,1,0.631849467754,1
2025-09-30,1,0.651093125343,1
2025-10-01,0,0.628937005997,1
2025-10-02,1,0.614445805550,1
2025-10-03,1,0.625497043133,1
2025-10-06,1,0.688391387463,1
2025-10-07,1,0.569414675236,1
2025-10-08,0,0.682904839516,1
2025-10-09,1,0.527516663074,1
2025-10-10,1,0.563055574894,1
2025-10-13,1,0.569925069809,1
2025-10-14,1,0.529208362103,1
2025-10-15,1,0.645302176476,1
2025-10-16,0,0.596484959126,1
2025-10-17,1,0.559475123882,1
2025-10-20,0,0.607865989208,1
2025-10-21,0,0.649486303329,1
2025-10-22,1,0.627453148365,1
2025-10-23,0,0.573418557644,1
2025-10-24,0,0.645217597485,1
2025-10-27,0,0.669960200787,1
2025-10-28,0,0.652940273285,1
2025-10-29,1,0.670740246773,1
2025-10-30,0,0.612007379532,1
2025-10-31,1,0.597613036633,1
2025-11-03,0,0.608317911625,1
2025-11-04,1,0.641523122787,1
2025-11-05,0,0.674259305000,1
2025-11-06,1,0.557889103889,1
2025-11-07,1,0.572534382343,1
2025-11-10,1,0.568843841553,1
2025-11-11,1,0.476878613234,0
2025-11-12,0,0.470965534449,0
2025-11-13,0,0.519508361816,1
2025-11-14,0,0.563112437725,1
2025-11-17,1,0.624097704887,1
2025-11-18,0,0.636187493801,1
2025-11-19,1,0.618128418922,1
2025-11-20,1,0.592714428902,1
2025-11-21,1,0.542742371559,1
2025-11-24,1,0.548481583595,1
2025-11-25,1,0.573631465435,1
2025-11-26,0,0.509102582932,1
2025-11-27,1,0.487683147192,0
2025-11-28,1,0.356455117464,0
2025-12-01,0,0.386936217546,0
2025-12-02,1,0.421359866858,0
2025-12-03,1,0.480211228132,0
2025-12-04,0,0.510787785053,1
2025-12-05,0,0.500340104103,1
2025-12-08,1,0.476860910654,0
2025-12-09,1,0.506400585175,1
2025-12-10,1,0.465542435646,0
2025-12-11,1,0.381953001022,0
2025-12-12,1,0.468858778477,0
2025-12-15,0,0.472335815430,0
2025-12-16,1,0.502630889416,1
2025-12-17,0,0.546649396420,1
2025-12-18,1,0.514185607433,1
2025-12-19,1,0.502602756023,1
2025-12-22,1,0.593217313290,1
2025-12-23,0,0.659559249878,1
2025-12-24,1,0.627965509892,1
2025-12-25,1,0.672716021538,1
2025-12-26,0,0.632752895355,1
2025-12-29,1,0.640730023384,1
