p,c1_z,c2_z,log_evidence
4,-0.8267251397441705,-0.007316223542630062,-129.71824929848344
4,0.17627601103032461,1.0789919159472794,-129.7182514139608
4,-1.0917576635308108,0.6424906385377123,-129.71825691463425
4,0.17627601103032461,0.46525928951068574,-129.71826598280768
4,0.17627601103032461,0.6424906385377123,-129.7182787762035
4,-0.4576194723109601,0.17627601103032461,-129.7182860772911
4,-0.4576194723109601,0.46525928951068574,-129.7182869263791
4,0.46525928951068574,1.0789919159472794,-129.7182924484703
4,-0.007316223542630062,1.0789919159472794,-129.71829441960816
4,-0.2456593085899069,-0.007316223542630062,-129.71829666286777
4,-0.2456593085899069,1.0789919159472794,-129.71830597374918
4,-0.2456593085899069,0.6424906385377123,-129.71831489738446
4,-0.007316223542630062,0.6424906385377123,-129.71831518062584
4,-0.007316223542630062,0.46525928951068574,-129.7183162148349
4,-0.2456593085899069,0.17627601103032461,-129.71831888093672
4,-0.2456593085899069,0.46525928951068574,-129.7183190441273
5,-1.0917576635308108,-0.8267251397441705,-131.84848210707804
5,-0.4576194723109601,-0.2456593085899069,-131.9118802172899
5,-0.8267251397441705,1.0789919159472794,-131.91300698375093
5,-1.0917576635308108,-0.4576194723109601,-131.91455941568773
5,-0.4576194723109601,1.0789919159472794,-131.91503138924122
5,-1.0917576635308108,-0.2456593085899069,-131.91568885225658
5,-1.0917576635308108,1.0789919159472794,-131.91569717724568
5,0.6424906385377123,1.0789919159472794,-131.91574021130808
5,-0.8267251397441705,-0.2456593085899069,-131.91574326233186
5,-0.8267251397441705,0.6424906385377123,-131.91574477944584
5,-0.8267251397441705,-0.4576194723109601,-131.91575132769975
5,-0.4576194723109601,0.6424906385377123,-131.91577733657522
5,-1.0917576635308108,-0.007316223542630062,-131.91581517975425
5,-0.4576194723109601,-0.007316223542630062,-131.91583681048212
5,-0.8267251397441705,0.46525928951068574,-131.91584377929476
5,-0.8267251397441705,0.17627601103032461,-131.91586717463875
5,-0.4576194723109601,0.46525928951068574,-131.9158802542553
5,-0.4576194723109601,0.17627601103032461,-131.91588192850782
5,-0.8267251397441705,-0.007316223542630062,-131.91588358734995
5,-1.0917576635308108,0.17627601103032461,-131.91588374740797
5,-1.0917576635308108,0.46525928951068574,-131.9158913460225
5,0.46525928951068574,0.6424906385377123,-131.91589180197903
5,-0.007316223542630062,0.17627601103032461,-131.91589233172778
5,0.17627601103032461,1.0789919159472794,-131.9158937021455
5,-1.0917576635308108,0.6424906385377123,-131.9158945925443
5,-0.2456593085899069,1.0789919159472794,-131.91589622505342
5,-0.2456593085899069,-0.007316223542630062,-131.91589857498985
5,0.17627601103032461,0.46525928951068574,-131.91589926462126
5,0.46525928951068574,1.0789919159472794,-131.91590066891254
5,0.17627601103032461,0.6424906385377123,-131.9159017911638
5,-0.007316223542630062,1.0789919159472794,-131.91590379546327
5,-0.2456593085899069,0.6424906385377123,-131.91590521494365
5,-0.2456593085899069,0.46525928951068574,-131.9159052855603
5,-0.2456593085899069,0.17627601103032461,-131.9159059852826
5,-0.007316223542630062,0.46525928951068574,-131.91590624463896
