policy,window,status,year,train_n,train_available,test_n,mse,qlike,oos_r2_vs_train_mean,high_risk_auc,alert_count,alert_coverage,alert_precision,alert_recall,tp,fp,fn,tn,q80,beta
EXTENDED_ROLLING_725,725,OK,2025,725,1629,237,3.5091063736639934e-08,0.3487504149954678,0.07247761844330569,0.8354068354068355,97,0.4092827004219409,0.7835051546391752,0.6846846846846847,76,21,35,105,4.611980099712319e-05,"[0.0015566135972303475, 0.21136619199097761, 0.4733473476511513, 0.039351904707068175]"
EXTENDED_ROLLING_750,750,OK,2025,750,1629,237,3.511346629918445e-08,0.3509483939480901,0.07235124842711693,0.8352638352638353,98,0.41350210970464135,0.7857142857142857,0.6936936936936937,77,21,34,105,4.579201136329891e-05,"[0.0015672159534860937, 0.21260366514662193, 0.46252293308519127, 0.04530744750840346]"
EXTENDED_ROLLING_775,775,OK,2025,775,1629,237,3.5172978391974085e-08,0.3506227248825794,0.07040443959841669,0.8354068354068354,99,0.4177215189873418,0.7777777777777778,0.6936936936936937,77,22,34,104,4.581570720376207e-05,"[0.0016050865501050374, 0.22304263230087096, 0.44173289055143267, 0.05037971950429909]"
EXTENDED_ROLLING_800,800,OK,2025,800,1629,237,3.5133537017340985e-08,0.35309607401558196,0.07144306718800197,0.8355498355498354,98,0.41350210970464135,0.7857142857142857,0.6936936936936937,77,21,34,105,4.579201136329891e-05,"[0.0016403159955126806, 0.2126742374156697, 0.444510183206139, 0.05195775089697746]"
EXTENDED_ROLLING_825,825,OK,2025,825,1629,237,3.514160451192987e-08,0.35668247926467767,0.07135443805130759,0.8351208351208351,97,0.4092827004219409,0.7835051546391752,0.6846846846846847,76,21,35,105,4.581570720376207e-05,"[0.0017065571932430156, 0.20898057127219577, 0.44712560476620455, 0.03984287696372546]"
EXTENDED_ROLLING_850,850,OK,2025,850,1629,237,3.510114581737672e-08,0.3483234207068153,0.07066158164187708,0.8457507895492391,96,0.4050632911392405,0.7708333333333334,0.6851851851851852,74,22,34,107,4.735223986372193e-05,"[0.001543556234897596, 0.21362395611322033, 0.4515795692126966, 0.06291374418540394]"
EXTENDED_ROLLING_875,875,OK,2025,875,1629,237,3.508910026639392e-08,0.3450057408981461,0.0695419779638381,0.8430451127819548,96,0.4050632911392405,0.75,0.6923076923076923,72,24,32,109,4.860842523469246e-05,"[0.001471344224666392, 0.21597329080423683, 0.4385582518016141, 0.08937889847033406]"
EXTENDED_ROLLING_900,900,OK,2025,900,1629,237,3.504350099047581e-08,0.34672207395251536,0.07007195198800886,0.8466957153231663,95,0.4008438818565401,0.7473684210526316,0.696078431372549,71,24,31,111,4.885391421137253e-05,"[0.0014616898876065889, 0.20538429642730066, 0.4353241453840683, 0.10549340560300013]"
EXTENDED_ROLLING_925,925,OK,2025,925,1629,237,3.4962654351521984e-08,0.34897492094789645,0.07127617045402901,0.8522627737226277,93,0.3924050632911392,0.7526881720430108,0.7,70,23,30,114,4.950208506757046e-05,"[0.0015168153450691925, 0.18571172899866956, 0.4548984006836716, 0.09766285500110738]"
EXTENDED_ROLLING_950,950,OK,2025,950,1629,237,3.4972750093618903e-08,0.349230230334748,0.07015049115263106,0.852919708029197,91,0.38396624472573837,0.7472527472527473,0.68,68,23,32,114,5.004427075354938e-05,"[0.0015017679925373492, 0.1870190185375215, 0.4404923891180854, 0.11409580007017872]"
EXTENDED_ROLLING_975,975,OK,2025,975,1629,237,3.494510116343301e-08,0.33889846548577396,0.06691753338086115,0.8410659227719866,91,0.38396624472573837,0.7252747252747253,0.673469387755102,66,25,32,114,5.193421545369195e-05,"[0.0012581875122926946, 0.19856340381706283, 0.4556732114666653, 0.13293514890545075]"
EXTENDED_ROLLING_1000,1000,OK,2025,1000,1629,237,3.508962828042889e-08,0.3339981707320984,0.06225689773302667,0.8406988694758479,90,0.379746835443038,0.7333333333333333,0.673469387755102,66,24,32,115,5.265599096433581e-05,"[0.0012993999919814268, 0.22936904387523355, 0.43438546565192504, 0.1187025538631381]"
