"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
52,"2024-05-13","2024-05-06",0.54,0.9,1,1,1,6,16,6
52,"2024-05-20","2024-05-13",0.54,1,1,0,1,6,18,6
52,"2024-05-27","2024-05-20",0.54,0.4,0,0,0,6,17,5
52,"2024-06-03","2024-05-27",0.54,1,1,0,0,6,16,5
52,"2024-06-10","2024-06-03",0.54,0,0,1,0,6,15,5
52,"2024-06-17","2024-06-10",0.54,0.5,1,0,1,6,17,6
52,"2024-06-24","2024-06-17",0.54,0.454545454545455,0,1,0,6,17,7
52,"2024-07-01","2024-06-24",0.54,1,1,1,1,6,14,6
52,"2024-07-08","2024-07-01",0.54,0.75,1,1,1,6,12,5
52,"2024-07-15","2024-07-08",0.54,0.375,0,0,1,6,12,5
52,"2024-07-22","2024-07-15",0.54,0.454545454545455,0,0,0,6,12,5
52,"2024-07-29","2024-07-22",0.54,0.5,1,1,0,6,9,4
52,"2024-08-05","2024-07-29",0.54,1,1,0,1,6,9,4
52,"2024-08-12","2024-08-05",0.54,0.571428571428571,1,1,0,6,9,3
52,"2024-08-19","2024-08-12",0.54,1,1,1,1,6,12,4
52,"2024-08-26","2024-08-19",0.54,0.5,1,0,1,5,11,5
52,"2024-09-02","2024-08-26",0.54,0,0,0,0,5,11,4
52,"2024-09-09","2024-09-02",0.54,0.666666666666667,1,1,0,5,11,4
52,"2024-09-16","2024-09-09",0.54,0.75,1,1,1,5,11,5
52,"2024-09-23","2024-09-16",0.54,0.666666666666667,1,1,1,5,11,5
52,"2024-09-30","2024-09-23",0.54,0.333333333333333,0,0,1,5,11,5
52,"2024-10-07","2024-09-30",0.54,0.5,1,1,0,5,11,5
52,"2024-10-14","2024-10-07",0.54,1,1,1,1,6,13,6
52,"2024-10-21","2024-10-14",0.54,1,1,1,1,6,13,6
52,"2024-10-28","2024-10-21",0.54,0.25,0,0,1,6,13,7
52,"2024-11-04","2024-10-28",0.54,0,0,0,0,6,13,7
52,"2024-11-11","2024-11-04",0.54,0.666666666666667,1,0,0,6,13,7
52,"2024-11-18","2024-11-11",0.54,0.666666666666667,1,1,0,8,19,8
52,"2024-11-25","2024-11-18",0.54,0,0,0,1,6,11,7
52,"2024-12-02","2024-11-25",0.54,0.666666666666667,1,0,0,6,13,9
52,"2024-12-09","2024-12-02",0.54,0.636363636363636,1,1,0,6,13,9
52,"2024-12-16","2024-12-09",0.54,0.75,1,0,1,6,15,8
52,"2024-12-23","2024-12-16",0.54,0.4,0,0,0,6,17,9
52,"2024-12-30","2024-12-23",0.54,1,1,1,0,6,16,9
104,"2024-03-04","2024-02-26",0.4,0.5,1,1,1,8,48,22
104,"2024-03-11","2024-03-04",0.4,1,1,0,1,8,47,22
104,"2024-03-18","2024-03-11",0.4,0.333333333333333,0,1,0,8,45,22
104,"2024-03-25","2024-03-18",0.4,1,1,1,1,8,45,22
104,"2024-04-01","2024-03-25",0.4,1,1,1,1,8,44,23
104,"2024-04-08","2024-04-01",0.4,0,0,1,1,8,44,23
104,"2024-04-15","2024-04-08",0.4,0.416666666666667,0,1,1,8,39,21
104,"2024-04-22","2024-04-15",0.4,0.461538461538462,0,0,1,8,38,21
104,"2024-04-29","2024-04-22",0.4,0.428571428571429,0,0,0,8,40,21
104,"2024-05-06","2024-04-29",0.4,0,0,1,0,8,42,22
104,"2024-05-13","2024-05-06",0.4,0.5,1,1,1,8,42,21
104,"2024-05-20","2024-05-13",0.4,0.555555555555556,1,0,1,8,41,20
104,"2024-05-27","2024-05-20",0.4,0,0,0,0,8,40,20
104,"2024-06-03","2024-05-27",0.4,0.5,1,0,0,8,39,19
104,"2024-06-10","2024-06-03",0.4,1,1,1,0,8,39,19
104,"2024-06-17","2024-06-10",0.4,1,1,0,1,8,39,18
