loss_type,eta,alpha,n,accuracy,balanced_accuracy,brier,log_loss,actual_up,actual_down,forecast_up,forecast_down,up_sensitivity,down_sensitivity,tp,tn,fp,fn,always_up_accuracy,mean_p_up,min_p_up,max_p_up
BRIER,2.0,0.2,43,0.5348837209302325,0.5504385964912281,0.29777460710328996,2.566776052067452,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.41903412221307806,0.0,1.0
ZERO_ONE,0.5,0.0,43,0.5348837209302325,0.5504385964912281,0.30147870533407417,2.5733282679944662,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.4214295535701627,0.0,1.0
ZERO_ONE,2.0,0.0,43,0.5348837209302325,0.5504385964912281,0.31239158856016674,2.754689661812085,24,19,16,27,0.4166666666666667,0.6842105263157895,10,13,6,14,0.5581395348837209,0.42236092710200257,0.0,0.9999999999999999
BRIER,0.25,0.05,43,0.5116279069767442,0.5296052631578947,0.2894531389998399,2.5452756447983513,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.41737450313288066,0.0,1.0
BRIER,0.25,0.02,43,0.5116279069767442,0.5296052631578947,0.28959342366760904,2.5450158962236977,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.4175801401589046,0.0,1.0
BRIER,0.25,0.01,43,0.5116279069767442,0.5296052631578947,0.2897010673244566,2.54505505762941,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.417616760431314,0.0,1.0
BRIER,0.5,0.05,43,0.5116279069767442,0.5296052631578947,0.29105469751297514,2.547336160034131,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.41874244848314457,0.0,1.0
BRIER,0.5,0.02,43,0.5116279069767442,0.5296052631578947,0.2914620406268169,2.5472338416336195,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.4191040101465058,0.0,1.0
BRIER,0.5,0.01,43,0.5116279069767442,0.5296052631578947,0.29172195095816983,2.54744862772571,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.4191630624709854,0.0,1.0
BRIER,1.0,0.05,43,0.5116279069767442,0.5296052631578947,0.29529756656979517,2.5561042949707495,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.42052459453885405,0.0,0.9999999999999999
BRIER,1.0,0.02,43,0.5116279069767442,0.5296052631578947,0.2964561050832757,2.557415168715867,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.42096028961730503,0.0,1.0
BRIER,1.0,0.01,43,0.5116279069767442,0.5296052631578947,0.29709920964423087,2.5583839237632287,24,19,15,28,0.375,0.6842105263157895,9,13,6,15,0.5581395348837209,0.4209976337875904,0.0,1.0
ZERO_ONE,1.0,0.0,43,0.5116279069767442,0.5241228070175439,0.30736750064968177,2.627663427530267,24,19,17,26,0.4166666666666667,0.631578947368421,10,12,7,14,0.5581395348837209,0.42175409980584383,0.0,1.0
BRIER,4.0,0.02,43,0.4883720930232558,0.5087719298245614,0.31761809257139406,2.6621282639872184,24,19,14,29,0.3333333333333333,0.6842105263157895,8,13,6,16,0.5581395348837209,0.4186372359625809,0.0,1.0
BRIER,4.0,0.01,43,0.4883720930232558,0.5087719298245614,0.31845066436802566,2.672435771139119,24,19,14,29,0.3333333333333333,0.6842105263157895,8,13,6,16,0.5581395348837209,0.4175985432538112,0.0,1.0
BRIER,4.0,0.0,43,0.4883720930232558,0.5087719298245614,0.3199463834806369,2.7025500228281425,24,19,14,29,0.3333333333333333,0.6842105263157895,8,13,6,16,0.5581395348837209,0.41554650083153155,0.0,1.0
ZERO_ONE,4.0,0.0,43,0.4883720930232558,0.5032894736842105,0.3163632034419471,3.0282093337203655,24,19,16,27,0.375,0.631578947368421,9,12,7,15,0.5581395348837209,0.42351026936010466,0.0,0.9999999999999999
