"target_week","origin_week","p_up","forecast_up","actual_up","previous_up","baseline_state","loglik","aic","bic","warning_count","warning_text","dgs10_mean","dgs10_sd","dexchus_mean","dexchus_sd","gpr_mean","gpr_sd"
"2024-07-22","2024-07-15",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.94980769230769,0.492337363160216,7.10432307692308,0.170386418752479,121.927038747347,26.8689678617107
"2024-07-29","2024-07-22",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.96125,0.486185244770972,7.10983365384615,0.165995511467318,121.754310575632,26.8868406508767
"2024-08-05","2024-07-29",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.97538461538462,0.469661979413542,7.11464326923077,0.162681748855142,121.567702187758,27.0357701967706
"2024-08-12","2024-08-05",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.98951923076923,0.452089817967715,7.11945288461538,0.159152376736021,121.381093799884,27.1825903572478
"2024-08-19","2024-08-12",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.00365384615385,0.433341179722532,7.1242625,0.155392704647828,121.194485412011,27.3273351312876
"2024-08-26","2024-08-19",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.01778846153846,0.413255972136336,7.12907211538462,0.151385575011939,121.007877024137,27.4700373257094
"2024-09-02","2024-08-26",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.02778846153846,0.403544866986803,7.13271346153846,0.149674780163619,120.60465024508,27.6059332669186
"2024-09-09","2024-09-02",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.03509615384615,0.393520321065964,7.13514519230769,0.147427232588489,120.614881409865,27.6106122783252
"2024-09-16","2024-09-09",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.04240384615385,0.383092919328239,7.13757692307692,0.145103744092508,120.625112574651,27.6152866696043
"2024-09-23","2024-09-16",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.04971153846154,0.372228807206152,7.14000865384615,0.14270060525421,120.635343739436,27.6199564431014
"2024-09-30","2024-09-23",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.05701923076923,0.36088854694477,7.14244038461538,0.140213720724693,120.645574904222,27.6246216011585
"2024-10-07","2024-09-30",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.05692307692308,0.360969775038592,7.14132980769231,0.140796607334324,120.589349347628,27.6137472440969
"2024-10-14","2024-10-07",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.05682692307692,0.361050959002003,7.14021923076923,0.14136828174275,120.533123791034,27.602752962402
"2024-10-21","2024-10-14",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.05673076923077,0.361132098864765,7.13910865384615,0.141928879434693,120.476898234441,27.5916386127168
"2024-10-28","2024-10-21",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.05663461538462,0.361213194656598,7.13799807692308,0.142478531157947,120.420672677847,27.5804040498863
"2024-11-04","2024-10-28",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.05923076923077,0.361916935993089,7.13674807692308,0.142056893416475,120.275966098492,27.5168690095456
"2024-11-11","2024-11-04",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.06182692307692,0.36260054360076,7.13549807692308,0.141622860984897,120.131259519137,27.4524167612244
"2024-11-18","2024-11-11",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.06442307692308,0.363264131145436,7.13424807692308,0.141176319544566,119.986552939782,27.3870408292931
"2024-11-25","2024-11-18",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.06701923076923,0.36390780814716,7.13299807692308,0.140717150010031,119.841846360427,27.3207345828904
"2024-12-02","2024-11-25",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.07221153846154,0.363192309728818,7.13257211538462,0.140688829302924,119.928064534114,27.3221190783104
"2024-12-09","2024-12-02",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.07701923076923,0.362193639696083,7.13335384615385,0.141091567680356,120.015635238061,27.3234716222281
"2024-12-16","2024-12-09",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.08182692307692,0.361127587982545,7.13413557692308,0.141488798773276,120.103205942007,27.3245407260626
"2024-12-23","2024-12-16",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.08663461538462,0.35999355597502,7.13491730769231,0.141880568838866,120.190776645954,27.3253264230827
"2024-12-30","2024-12-23",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",4.09144230769231,0.358790899077223,7.13569903846154,0.142266922992336,120.2783473499,27.3258287377348
