origin_date,target_date,origin_close,target_close,target_log_return,actual_up,momentum_20d_log_return,tsm_signal,rs_plus_5d,rs_minus_5d,q80_plus_250d,q80_minus_250d,region,ttsm_s1_signal,ttsm_s2_signal
2022-03-07,2022-03-08,1991.28003,2051.83008,0.0299544537546003,1,0.10130219106548981,1,0.0004127911207862851,0.0004644977678538714,0.00023410131241529937,0.0002583441192532457,1,0,0
2022-03-08,2022-03-09,2051.83008,1977.88,-0.036706552842854345,0,0.13225741776661643,1,0.0007381916947863587,0.000740255056507569,0.00023596792417209764,0.0002586308370825072,1,0,0
2022-03-09,2022-03-10,1977.88,1988.16003,0.005184038963086115,1,0.09063429241387669,1,0.0008279154483473452,0.0009549356230004637,0.00023618592041943487,0.0002621645697857979,1,0,0
2022-03-10,2022-03-14,1988.16003,1942.23999,-0.023367661963858494,0,0.09576852912970875,1,0.0008857907437529289,0.0009510820869532204,0.00023618592041943487,0.00026227743044810635,1,0,0
2022-03-14,2022-03-15,1942.23999,1918.15002,-0.012480750723600907,0,0.06422000670516392,1,0.0008909020897537444,0.0009665270424590418,0.00023618592041943487,0.00026461506975409546,1,0,0
2022-03-15,2022-03-16,1918.15002,1936.53003,0.009536536916007364,1,0.04849437131013455,1,0.0008106341254660224,0.0009021644336775932,0.00023618592041943487,0.00026461506975409546,1,0,0
2022-03-16,2022-03-17,1936.53003,1935.30005,-0.0006353481511125854,0,0.054332924764840175,1,0.0005187951714076569,0.0006702777974038698,0.00023651318880696826,0.00026461506975409546,1,0,0
2022-03-17,2022-03-21,1935.30005,1936.78003,0.0007644367066242676,1,0.059076973972308724,1,0.00039762777944207827,0.00044444946128868366,0.00023685846238730753,0.00026461506975409546,1,0,0
2022-03-21,2022-03-22,1936.78003,1921.93994,-0.007691754406002027,0,0.031112369255366756,1,0.00029731275945658317,0.0003466030085430758,0.00023736184643984525,0.0002794761712456276,1,0,0
2022-03-22,2022-03-23,1921.93994,1938.96997,0.008821827415384962,1,0.03656686436514047,1,0.00026988299260130995,0.00031522038323256277,0.00023894029396197123,0.0002814849260995513,1,0,0
2022-03-23,2022-03-24,1938.96997,1960.98999,0.011292553886716922,1,0.034172445469271236,1,0.00023238443192613188,0.0002599135298603904,0.00023894029396197123,0.0002814849260995513,3,1,1
2022-03-24,2022-03-28,1960.98999,1925.050049,-0.01849747578039393,0,0.03661868816096258,1,0.00019694276865462682,0.0001876686462019813,0.00023736184643984525,0.0002794761712456276,3,1,1
2022-03-28,2022-03-29,1925.050049,1923.76001,-0.0006703573460545584,0,0.008980270539360763,1,0.00021458442096800067,0.00019973381260124457,0.00023685846238730753,0.00026461506975409546,3,1,1
2022-03-29,2022-03-30,1923.76001,1925.16003,0.000727487215736052,1,0.013971047360101687,1,0.0002496152371368276,0.00025492681420932875,0.00023685846238730753,0.0002621645697857979,4,1,0
2022-03-30,2022-03-31,1925.16003,1938.32996,0.00681766022229457,1,-0.00552188674449534,-1,0.00026048955118255146,0.00024240634468348235,0.00023685846238730753,0.0002599135298603904,4,1,1
2022-03-31,2022-04-04,1938.32996,1928.65002,-0.005006470304384936,0,0.013561901891329997,1,0.00026504345736202734,0.00024337826761882265,0.00023736184643984525,0.0002583441192532457,4,1,0
2022-04-04,2022-04-05,1928.65002,1923.95996,-0.0024347454537217046,0,0.01203913648681883,1,0.00024511058319009224,0.00023096036862507418,0.00023894029396197123,0.0002583441192532457,4,1,0
2022-04-05,2022-04-06,1923.95996,1922.31995,-0.0008527773005415506,0,-0.006455386915120041,-1,0.00022369115363874662,0.00022082013271732768,0.00023894029396197123,0.0002583441192532457,3,-1,-1
2022-04-06,2022-04-07,1922.31995,1931.01001,0.004510423359895582,1,-0.0012113795028852682,-1,0.00021644513804221395,0.0002021398105900161,0.00023894029396197123,0.0002583441192532457,3,-1,-1
2022-04-07,2022-04-11,1931.01001,1959.12,0.014452205553563222,1,-0.0042168798280339806,-1,0.0002038167330486055,0.00019094713115086807,0.00023894029396197123,0.00025680142038773967,3,-1,-1
2022-04-11,2022-04-12,1959.12,1970.01001,0.005543231126188811,1,-0.016282270278615597,-1,0.00020730868387128863,0.00020715909849509885,0.00023736184643984525,0.00025492681420932875,3,-1,-1
2022-04-12,2022-04-13,1970.01001,1973.81006,0.001927091555175631,1,-0.04069349290702708,-1,0.0002445925953129954,0.00022125756972892448,0.00023736184643984525,0.00025128522565542383,4,1,1
2022-04-13,2022-04-18,1973.81006,1978.71997,0.002484440339855793,1,-0.0020598485089970736,-1,0.00023120313738660402,0.00020243166114346182,0.00023685846238730753,0.00024337826761882265,3,-1,-1
2022-04-18,2022-04-19,1978.71997,1944.13,-0.017635579619923597,0,-0.004759447132227308,-1,0.00018842488028747784,0.00017053262976327287,0.00023651318880696826,0.00024240634468348235,3,-1,-1
2022-04-19,2022-04-20,1944.13,1951.42004,0.0037427569586779394,1,0.0009726352117076523,1,0.0001875809606529493,0.0002109976997400171,0.00023618592041943487,0.0002420692553203361,3,1,1
2022-04-20,2022-04-21,1951.42004,1950.51001,-0.0004664512202108885,0,0.017196142893986473,1,0.00017468326518419486,0.00018601324175977974,0.00023596792417209764,0.0002345637288751295,3,1,1
2022-04-21,2022-04-25,1950.51001,1902.31006,-0.025021913255688245,0,0.007193154757768172,1,0.00014153782469502143,0.00017737246690997804,0.00023238443192613188,0.00023303623825132367,3,1,1
2022-04-25,2022-04-26,1902.31006,1899.18994,-0.0016415208210551534,0,-0.017193410346807478,-1,0.0001703458506051265,0.00022326920209815904,0.00023238443192613188,0.00023303623825132367,3,-1,-1
2022-04-26,2022-04-27,1899.18994,1879.069946,-0.010650503033858212,0,-0.019599367874486885,-1,0.00018403095986480123,0.00023274773751617947,0.00023238443192613188,0.00023303623825132367,3,-1,-1
2022-04-27,2022-04-28,1879.069946,1904.42004,0.013400576423994844,1,-0.022558116502343104,-1,0.00020294179341277325,0.00023957668998730592,0.00023238443192613188,0.0002345637288751295,2,-1,0
2022-04-28,2022-05-02,1904.42004,1862.68994,-0.0221558740023288,0,-0.017979367493733203,-1,0.00024357705886978196,0.00025597745693086164,0.00023596792417209764,0.00023957668998730592,1,0,0
2022-05-02,2022-05-03,1862.68994,1864.76001,0.0011107165706243712,1,-0.05142779538277892,-1,0.00024608584917863225,0.00027727887819668556,0.00023618592041943487,0.0002420692553203361,1,0,0
2022-05-03,2022-05-04,1864.76001,1901.37,0.019442315119894273,1,-0.031819603031760714,-1,0.00023702156427902495,0.000245696657485124,0.00023618592041943487,0.0002420692553203361,1,0,0
2022-05-04,2022-05-05,1901.37,1877.030029,-0.012883923092316243,0,-0.011706930565811988,-1,0.0003006710279604247,0.0002430176569306484,0.00023618592041943487,0.0002420692553203361,1,0,0
