origin_date,target_date,actual_return,actual_up,freq_p_up,lag1_return,log_rv,rsk,AR1_LOGIT_p_up,AR1_LOGIT_pred_up,AR1_LOGIT_beta,RV_LOGIT_p_up,RV_LOGIT_pred_up,RV_LOGIT_beta,RSK_LOGIT_p_up,RSK_LOGIT_pred_up,RSK_LOGIT_beta,RM_LOGIT_p_up,RM_LOGIT_pred_up,RM_LOGIT_beta,AR1_RM_LOGIT_p_up,AR1_RM_LOGIT_pred_up,AR1_RM_LOGIT_beta
2023-07-26,2023-07-27,-0.012084373893265115,0,0.526395173453997,0.007143481379158466,-9.936237624987216,2.9697754585939053,0.5356811809781866,1,"[0.10575727271795872,0.05651038503532473]",0.5133530192586868,1,"[0.10582609294349288,0.07057186697169557]",0.6113076111190832,1,"[0.10629228178597777,0.14344226829280116]",0.6017559746498841,1,"[0.10681442795609088,0.08684023675398349,0.1533497147936714]",0.6011544860898,1,"[0.10681647483564793,0.007052504571806094,0.08732011525953601,0.15053531599189754]"
2023-07-27,2023-07-31,0.004059654634727649,1,0.5256024096385542,-0.012084373893265115,-9.54564616520703,-1.5198867511594487,0.5096025946722377,1,"[0.10256956420355093,0.054340908207246325]",0.5245479648932991,1,"[0.10265251286686919,0.07285109025828994]",0.48619247625520046,0,"[0.1030237014031719,0.13460973989735364]",0.48199811423473315,0,"[0.1035160995209943,0.08847518060047084,0.14478668741455725]",0.48046248958472704,0,"[0.1035189086373759,0.008587505621247292,0.08905783477357074,0.14136810734894262]"
2023-07-31,2023-08-01,-0.006590631846576817,0,0.5263157894736842,0.004059654634727649,-10.455958412201916,1.3007239518202278,0.5309527218291888,1,"[0.1054242819403151,0.05086605584612931]",0.49642380703364053,0,"[0.10551655902636274,0.0726357819211021]",0.5613051851911814,1,"[0.10586717863221533,0.1308716698358346]",0.5281952571323046,1,"[0.10634544606616853,0.08779810648499105,0.14092061423668917]",0.527938773447266,1,"[0.10634675657253807,0.00587814025516981,0.08819418742083915,0.13857468282915456]"
2023-08-01,2023-08-02,-0.006185193881872394,0,0.5255255255255256,-0.006590631846576817,-9.85946429239209,1.19742654282894,0.5174321838290541,1,"[0.10224984639811367,0.04965682093454802]",0.5138435849287994,1,"[0.10236586812010388,0.07767288453906239]",0.5568754596837312,1,"[0.10265434465697715,0.1270773390251116]",0.5457604053418822,1,"[0.10315518663989065,0.092835757073251,0.13789466231175385]",0.543992325538202,1,"[0.10315674411697337,0.006544239194452754,0.09327516685410832,0.13528583742691486]"
2023-08-02,2023-08-03,-0.0010793600224661042,0,0.5247376311844077,-0.006185193881872394,-10.228604020317892,-0.4172852363558597,0.5168247205861363,1,"[0.09909290562413002,0.05166857594220055]",0.49999276275887494,0,"[0.09921029304384724,0.07950373017335736]",0.515651043964093,1,"[0.09945640456244975,0.12360471601683402]",0.48550438169637755,0,"[0.09995032959162095,0.09439770980493195,0.13463522831717156]",0.4839358285923305,0,"[0.09995463590602799,0.01083888704409027,0.09511946612149752,0.13033675771698924]"
2023-08-03,2023-08-07,-0.0010805262994702787,0,0.5239520958083832,-0.0010793600224661042,-9.894433817866062,0.5996855023824424,0.5222921953071843,1,"[0.09594546177039188,0.05354975537500976]",0.5102096776814816,1,"[0.09607393164216314,0.08329511415434576]",0.5399584676302591,1,"[0.0963012763572844,0.124455549684249]",0.5253322035199527,1,"[0.09682377914791089,0.0982500745879052,0.1358797954016361]",0.5241379237372229,1,"[0.09682968524046914,0.012865967025020356,0.09909491143988355,0.1307736816248618]"
2023-08-07,2023-08-08,-0.0015738050868448414,0,0.523168908819133,-0.0010805262994702787,-10.44259896275826,-0.3209801522996481,0.5214973087822221,1,"[0.09280426961868128,0.05389712651449365]",0.4887211875130072,0,"[0.09293861017964246,0.08528954015566893]",0.5164770125881669,1,"[0.09313698639566424,0.12263929769084346]",0.4754674312803542,0,"[0.0936609994611098,0.10012587209516517,0.13430321765461362]",0.47495881788218147,0,"[0.09366819250407374,0.014267768904932308,0.10105946569682157,0.1286473747183365]"
2023-08-08,2023-08-09,-0.005939510838727162,0,0.5223880597014925,-0.0015738050868448414,-10.254219908606128,0.07565455052860272,0.5200660636187081,1,"[0.08967285507716287,0.054243393089066345]",0.4934728350287216,0,"[0.08982703653917495,0.09014602243152443]",0.5254060544273028,1,"[0.0899997607369419,0.1232423635199713]",0.4920897652170651,0,"[0.09055958393953069,0.1050238676595032,0.13541105083581995]",0.4910067550182186,0,"[0.09056718049957181,0.014750534138583163,0.10598667004404225,0.12956212523469196]"
2023-08-09,2023-08-10,-0.0020869210393344743,0,0.5216095380029806,-0.005939510838727162,-10.536931120854783,0.20695763173236026,0.5135423553010637,1,"[0.08655146451037242,0.05473569188158302]",0.4799554828135292,0,"[0.08672037642328038,0.09399945990685196]",0.5278247773149044,1,"[0.08686532449950961,0.12282043436448568]",0.4802897060171535,0,"[0.08744887148926263,0.10889905806257365,0.13544351610976865]",0.47719696737483197,0,"[0.08745747573030037,0.015782348927032914,0.10992290208389556,0.12918697391656922]"
2023-08-10,2023-08-14,-0.003945686038483475,0,0.5208333333333334,-0.0020869210393344743,-10.095094131335955,0.09952436857383917,0.5177307316135454,1,"[0.08344235439813043,0.05651981918409763]",0.49603861599268106,0,"[0.08363057628369983,0.09926210498037781]",0.5243884118591204,1,"[0.08373862031912435,0.12205914213772508]",0.4963275892813784,0,"[0.08435652215176044,0.11420288872608128,0.13533085132649886]",0.49480996354441853,0,"[0.08436814374050822,0.01846988872812671,0.11536884743149653,0.12801497042357646]"
2023-08-14,2023-08-15,-0.0015847719152887324,0,0.5200594353640416,-0.003945686038483475,-10.447189569721697,-0.29370371468186324,0.5143747251501405,1,"[0.08034037543046532,0.05715734729697778]",0.478920318291817,0,"[0.08053844480656235,0.10223895361997443]",0.5140450596832304,1,"[0.08062365570899137,0.1215812389145155]",0.4663202132307962,0,"[0.08125657541056816,0.11718470743695046,0.13520496656399122]",0.4642672452204411,0,"[0.0812696022871379,0.019628904259756847,0.11841697051193556,0.12743254601799134]"
2023-08-15,2023-08-16,-0.005957425810413948,0,0.5192878338278932,-0.0015847719152887324,-10.119259703742802,-0.7181740474664802,0.5167959469481598,1,"[0.07724895043122272,0.05834145374767579]",0.4915757474791456,0,"[0.07746511483054619,0.10698561913892839]",0.502875490256489,1,"[0.0775245481389952,0.12211287377906509]",0.46948938983507016,0,"[0.07819183175084415,0.12197005297301312,0.13622223544422538]",0.46937622140185836,0,"[0.07820656678378775,0.02102140224901611,0.12327314954974387,0.12789468858173497]"
2023-08-16,2023-08-17,-1.580186120759594e-05,0,0.5185185185185185,-0.005957425810413948,-10.440821026391669,0.12817994981081862,0.509826428459735,1,"[0.07416556736199335,0.058823688871062145]",0.4747124506512468,0,"[0.07439199222136234,0.11004528122510356]",0.5228600265978757,1,"[0.07444105677837211,0.12370559400760173]",0.47364614713314,0,"[0.07513321143098668,0.1251230787032857,0.13808215700563217]",0.4697292061748138,0,"[0.07514788111660928,0.02108336349957121,0.12643116613778665,0.12972488534630472]"
