trade_date,acquisition_status,evidence_status,canonical_n,cache_exact_n,exact_close,lineage_id,retrieved_at,gap_action,impacted_readiness_cells
2024-12-20,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-21,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-22,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-23,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-24,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-25,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-26,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2633.62012,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-27,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2621.8999,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-28,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-29,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-30,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2605.94995,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2024-12-31,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""FAST:2025-01"",""MONTHLY_DIRECTION_3M:2025-01"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""SLOW:2025-01""]"
2025-01-01,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-02,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-03,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2639.48999,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-04,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
2025-01-05,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""EMERGENCY_LEVEL:2025-01"",""EMERGENCY_REVERSAL:2025-01"",""FAST:2025-01"",""FAST:2025-02"",""MONTHLY_DIRECTION_3M:2025-02"",""MONTHLY_DIRECTION_3M:2025-03"",""MONTHLY_DIRECTION_3M:2025-04"",""MONTHLY_DIRECTION_3M:2025-05"",""SLOW:2025-01"",""SLOW:2025-02""]"
